"Date","SolarZenMin","TimeSolarZenMin","AlbedoSolarZenMin","LandSatR","Wns_rad","Wns_modis","ustarUh_pro","ustarUh_rad","usstarUh_rad","ustarUh_rad_filt","usstarUh_rad_filt","ustarUh_modis","usstarUh_modis"
"2018-04-25",19.21001,"13:05:00",0.3589233,0.3906,0.000181981006566814,0.00679427245631814,0.0456395710879923,0.0382017920382566,0.0379857303748053,0.0382017920382566,0.0379857303748053,0.0573854299824152,0.0319379367933632
"2018-04-26",18.88826,"13:05:00",0.3865925,0.3906,0.000178442664170511,0.00677555659785867,0.0382315190936392,0.0381966162604598,0.0379882354951303,0.0381966162604598,0.0379882354951303,0.0573306633082145,0.0319550958956328
"2018-04-27",18.57001,"13:04:00",0.3860357,0.3906,0.000178513867857152,0.00670211389660835,0.0332810729725877,0.0381967200930026,0.0379881851451534,NA,NA,0.0571152773347185,0.0320224835893291
"2018-04-28",18.25555,"13:04:00",0.3572942,0.3906,0.000182189336175115,0.00659050885587931,0.0422762009120939,0.0382020977896181,0.0379855826850777,0.0382020977896181,0.0379855826850777,0.0567865378142999,0.0321250494652642
"2018-04-29",17.94508,"13:04:00",0.359374,0.3906,0.000181923370967743,0.00659050885587931,0.0390403150270638,0.0382017074701723,0.0379857712302424,0.0382017074701723,0.0379857712302424,0.0567865378142999,0.0321250494652642
"2018-04-30",17.63869,"13:04:00",0.3619244,0.3906,0.000181597225345637,0.00663039833307266,0.0481768165743685,0.0382012290821476,0.0379860023901283,0.0382012290821476,0.0379860023901283,0.0569042314450873,0.0320883684879784
"2018-05-01",17.33645,"13:04:00",0.37218,0.3906,0.000180285737327188,0.00671835569664836,0.0419278887212993,0.0381993081848107,0.0379869313915919,0.0381993081848107,0.0379869313915919,0.0571629748847558,0.0320075734946792
"2018-05-02",17.03845,"13:04:00",0.372944,0.3906,0.000180188036866355,0.00677734380587935,0.0408364653334544,0.0381991652647126,0.0379870005641459,0.0381991652647126,0.0379870005641459,0.0573358952089177,0.0319534571029938
"2018-05-03",16.74476,"13:04:00",0.361648,0.3913,0.000181486538205974,0.00675871130079031,0.055534697209475,0.0382010667896298,0.0379860808290927,0.0382010667896298,0.0379860808290927,0.0572813279607047,0.0319705448093068
"2018-05-04",16.45547,"13:04:00",0.3610602,0.3913,0.00018156157170969,0.00677714310586452,0.0370410029079348,0.0382011768023457,0.0379860276569082,0.0382011768023457,0.0379860276569082,0.0573353076990654,0.0319536411337052
