"Date","z0_pro","SolarZenMin","TimeSolarZenMin","AlbedoSolarZenMin","LandSatR","Wns_rad","Wns_modis","ustarUh_pro","uTstarUh_rad","usstarUh_rad","uTstarUh_rad_filt","usstarUh_rad_filt","usstarUh.modis","uTstarUh.modis"
"2018-05-29",0.00883952449602503,10.90835,"13:04:00",0.301034,0.3257,0.000207194816395459,0.0068391147069633,0.063520919011534,0.0382395863810524,0.0379677061730921,0.0382395863810524,0.0379677061730921,0.0575164456623811,0.0318968473189356
"2018-05-30",0.00695389859547613,10.7603,"13:05:00",0.3005291,0.3257,0.000207272248863993,0.00682744011282921,0.0611895048937723,0.0382397048285958,0.0379676503735497,0.0382397048285958,0.0379676503735497,0.0574823635841288,0.0319075417682953
"2018-05-31",0.00621357981497732,10.61816,"13:05:00",0.2983088,0.3257,0.000207612758489406,0.00677911937236786,0.0601536865879865,0.0382402258699853,0.0379674049636101,0.0382402258699853,0.0379674049636101,0.0573410925827669,0.0319518290356514
"2018-06-01",0.00956769979710189,10.48249,"13:05:00",0.2995951,0.3257,0.000207415488962234,0.00672508776187897,0.0643295900722791,0.0382399239785783,0.0379675471446473,0.0382399239785783,0.0379675471446473,0.0571827342461502,0.0320013946286261
"2018-06-02",0.00755201052127165,10.35335,"13:05:00",0.300586,0.3257,0.000207263522566781,0.00672522326931357,0.0619717165358111,0.0382396914793736,0.0379676566620432,0.0382396914793736,0.0379676566620432,0.0571831319104769,0.0320012702637028
"2018-06-03",0.0097031599361527,10.23081,"13:05:00",0.3002519,0.3257,0.0002073147608075,0.00672502024099231,0.0644753681431233,0.0382397698646335,0.0379676197373884,0.0382397698646335,0.0379676197373884,0.0571825360962997,0.0320014565975106
"2018-06-04",0.00515670648464595,10.11493,"13:05:00",0.2955129,0.3254,0.000208141151336827,0.00669499207288027,0.0585131250333701,0.0382410349474593,0.0379670240431389,0.0382410349474593,0.0379670240431389,0.0570943509666666,0.0320290227875987
"2018-06-05",0.0103043589236668,10.00577,"13:05:00",0.3018332,0.3254,0.000207170963921338,0.00672481674700975,0.0651062415603016,0.0382395498970509,0.0379677233611803,0.0382395498970509,0.0379677233611803,0.0571819389097876,0.0320016433593436
"2018-06-06",0.00753461163700868,9.90254,"13:06:00",0.301758,0.3254,0.000207182507375545,0.00671318452805281,0.0619495788883709,0.0382395675533913,0.0379677150430006,0.0382395675533913,0.0379677150430006,0.0571477926271244,0.0320123202149442
"2018-06-07",0.00516523908922728,9.80606,"13:06:00",0.3015263,0.3254,0.000207218074108784,0.00669492455199361,0.0585272797699387,0.0382396219566188,0.037967689413348,NA,NA,0.0570941525332975,0.0320290847885228
